                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5551,                 2.5621,                 1.8709,                0.31035,                 0.2907,                0.22314,                0.13598,                 1.6557,                 2.7107,                 1.9691,               0.067009,             0.00033324,             0.00033324
                      2,                 1.3047,                  2.035,                 1.6925,                0.38939,                0.45468,                0.35882,                0.20093,                 1.5758,                 2.3793,                 1.8619,               0.034009,             0.00066654,             0.00066654
                      3,                 1.2205,                  1.798,                 1.6138,                0.53508,                0.54421,                 0.5087,                0.29099,                 1.5067,                 1.9055,                  1.711,              0.0010085,             0.00099967,             0.00099967
                      4,                 1.1596,                 1.6497,                 1.5578,                0.62903,                 0.5999,                0.61972,                0.33522,                 1.4377,                 1.7359,                 1.6111,             0.00099945,             0.00099945,             0.00099945
                      5,                  1.126,                 1.5394,                 1.5203,                0.66013,                0.63028,                0.64426,                0.36393,                 1.4342,                  1.613,                 1.5815,             0.00099945,             0.00099945,             0.00099945
                      6,                 1.0987,                 1.4685,                 1.5011,                0.66448,                 0.6391,                0.66417,                 0.3886,                 1.4174,                 1.5674,                  1.563,             0.00099902,             0.00099902,             0.00099902
                      7,                 1.0752,                 1.4342,                 1.4811,                 0.7113,                0.65971,                0.70429,                0.41348,                 1.4343,                 1.4392,                 1.5802,             0.00099847,             0.00099847,             0.00099847
                      8,                 1.0669,                 1.3817,                 1.4789,                0.68699,                0.66805,                0.70916,                0.43048,                 1.3933,                 1.4281,                  1.532,              0.0009978,              0.0009978,              0.0009978
                      9,                  1.063,                 1.3419,                 1.4671,                0.76288,                0.67162,                0.73911,                0.44923,                 1.4041,                 1.3367,                 1.5373,             0.00099701,             0.00099701,             0.00099701
                     10,                 1.0557,                 1.3259,                 1.4586,                0.72124,                0.67983,                0.73615,                0.45089,                 1.3949,                 1.3906,                  1.523,              0.0009961,              0.0009961,              0.0009961
                     11,                 1.0497,                 1.3081,                 1.4539,                0.76479,                0.65174,                  0.742,                0.45862,                  1.376,                 1.2995,                 1.5219,             0.00099506,             0.00099506,             0.00099506
                     12,                 1.0355,                 1.2816,                 1.4449,                0.76374,                0.69688,                0.77116,                0.46989,                  1.346,                 1.2834,                 1.4986,             0.00099391,             0.00099391,             0.00099391
                     13,                 1.0261,                 1.2654,                  1.438,                0.77566,                0.70431,                0.77797,                0.47957,                 1.3425,                 1.2607,                 1.4695,             0.00099263,             0.00099263,             0.00099263
                     14,                  1.025,                 1.2278,                  1.429,                 0.7798,                0.70308,                0.78296,                0.48176,                 1.3679,                 1.2157,                 1.4955,             0.00099123,             0.00099123,             0.00099123
                     15,                 1.0132,                 1.2135,                 1.4247,                0.81869,                 0.7043,                0.79142,                0.49352,                 1.3628,                 1.2245,                 1.4972,             0.00098972,             0.00098972,             0.00098972
                     16,                  1.009,                 1.2085,                 1.4212,                0.80695,                0.70763,                0.79212,                 0.4912,                 1.3429,                  1.219,                 1.4897,             0.00098808,             0.00098808,             0.00098808
                     17,                 1.0054,                 1.1915,                 1.4185,                0.76474,                0.70192,                0.77039,                0.47518,                 1.3442,                 1.2586,                 1.4754,             0.00098632,             0.00098632,             0.00098632
                     18,                 1.0023,                 1.1779,                 1.4183,                 0.8146,                0.71868,                0.79017,                0.48053,                  1.376,                 1.2518,                 1.4854,             0.00098445,             0.00098445,             0.00098445
                     19,                0.99652,                 1.1543,                 1.4097,                0.81751,                 0.7098,                0.80004,                0.50388,                 1.3127,                 1.1597,                 1.4311,             0.00098246,             0.00098246,             0.00098246
                     20,                0.99186,                 1.1639,                 1.4035,                0.81041,                0.72865,                0.80356,                 0.5032,                 1.3297,                 1.1975,                 1.4622,             0.00098035,             0.00098035,             0.00098035
                     21,                0.97698,                 1.1417,                 1.4024,                0.78598,                0.73659,                0.79882,                0.49442,                 1.3592,                 1.1622,                 1.4849,             0.00097812,             0.00097812,             0.00097812
                     22,                0.98281,                 1.1233,                 1.3955,                0.81491,                0.74013,                0.81369,                0.49892,                 1.3651,                 1.1693,                 1.4887,             0.00097577,             0.00097577,             0.00097577
                     23,                 0.9692,                  1.122,                  1.392,                0.82097,                0.74973,                0.82569,                0.51457,                 1.3417,                 1.1061,                 1.4678,             0.00097331,             0.00097331,             0.00097331
                     24,                0.96991,                 1.1045,                 1.3907,                0.83829,                0.72086,                 0.8105,                0.48173,                  1.384,                 1.1713,                 1.4812,             0.00097074,             0.00097074,             0.00097074
                     25,                0.96789,                 1.1049,                 1.3861,                0.79202,                0.73772,                0.80538,                0.49978,                 1.3682,                 1.2187,                 1.4717,             0.00096804,             0.00096804,             0.00096804
                     26,                 0.9741,                 1.1108,                 1.3942,                0.80534,                0.72269,                0.80044,                0.49775,                 1.3454,                 1.1821,                 1.4653,             0.00096524,             0.00096524,             0.00096524
                     27,                0.96367,                 1.0896,                 1.3836,                0.82281,                0.72128,                0.81061,                0.50781,                 1.3327,                 1.1205,                 1.4565,             0.00096232,             0.00096232,             0.00096232
                     28,                0.95837,                 1.0782,                 1.3753,                0.81229,                0.74711,                0.81284,                0.51572,                 1.3041,                 1.1367,                 1.4294,             0.00095929,             0.00095929,             0.00095929
                     29,                0.95575,                 1.0655,                 1.3781,                0.81297,                0.74822,                0.81683,                0.51794,                 1.3326,                 1.1128,                 1.4528,             0.00095614,             0.00095614,             0.00095614
                     30,                 0.9624,                 1.0694,                 1.3809,                0.82817,                  0.712,                0.81296,                 0.5159,                 1.3027,                 1.1048,                 1.4323,             0.00095289,             0.00095289,             0.00095289
