                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9884,                 2.3683,                 1.7851,                0.55811,                0.53356,                0.52896,                0.20655,                 1.8236,                 1.8743,                 1.8043,               0.070062,              0.0033264,              0.0033264
                      2,                 1.9487,                 1.8416,                 1.7031,                0.61215,                0.52746,                0.54773,                0.22266,                  1.875,                  1.754,                 1.8707,               0.040029,              0.0066268,              0.0066268
                      3,                 1.9521,                 1.7557,                 1.7029,                 0.5548,                0.51922,                 0.4464,                 0.1746,                 1.8807,                 1.8688,                 1.8271,              0.0099634,              0.0098941,              0.0098941
                      4,                 1.9728,                 1.7527,                 1.7076,                0.56864,                0.55613,                0.55135,                0.23799,                 1.8296,                 1.6814,                 1.7351,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9453,                 1.7066,                 1.7221,                0.64905,                0.60494,                0.63555,                0.27872,                 1.8074,                 1.4882,                  1.729,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9215,                 1.6689,                 1.7106,                0.65262,                0.59701,                0.63302,                0.27341,                  1.811,                 1.7099,                 1.7248,               0.009802,               0.009802,               0.009802
                      7,                 1.9367,                 1.6289,                  1.702,                 0.5868,                0.65192,                 0.5929,                0.25331,                 1.7729,                 1.4272,                 1.7282,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9152,                 1.5757,                 1.6879,                0.68988,                0.61552,                0.66029,                0.29734,                 1.7671,                 1.4502,                  1.685,               0.009703,               0.009703,               0.009703
                      9,                 1.8801,                 1.5449,                 1.6553,                 0.6684,                 0.6626,                0.69582,                0.31105,                 1.7582,                 1.3207,                 1.6766,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8856,                  1.532,                 1.6602,                0.65383,                0.62325,                0.66636,                0.29381,                 1.7913,                 1.3144,                 1.7085,               0.009604,               0.009604,               0.009604
                     11,                 1.8739,                  1.516,                 1.6679,                0.69114,                0.62599,                0.68008,                0.31099,                 1.7432,                 1.3045,                 1.6942,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8599,                 1.4716,                  1.644,                0.65905,                0.70592,                0.71525,                0.33061,                  1.715,                 1.2551,                 1.6669,               0.009505,               0.009505,               0.009505
                     13,                 1.8464,                 1.4589,                 1.6464,                0.71748,                0.67541,                0.72027,                0.32592,                 1.7565,                 1.3896,                 1.6849,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.8346,                 1.4264,                 1.6262,                 0.6983,                0.62913,                0.67262,                0.30939,                 1.7261,                 1.3072,                 1.6716,               0.009406,               0.009406,               0.009406
                     15,                 1.8206,                 1.4277,                 1.6279,                0.70753,                0.64352,                0.69711,                0.32432,                 1.7105,                 1.3188,                 1.6422,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.8247,                 1.4066,                 1.6158,                0.72434,                0.70012,                0.74304,                0.35757,                 1.6835,                 1.2098,                 1.6349,               0.009307,               0.009307,               0.009307
                     17,                 1.8121,                 1.3721,                 1.5993,                 0.7505,                0.68271,                0.75137,                0.35563,                 1.6813,                 1.1675,                 1.6226,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.8099,                 1.3898,                 1.6066,                0.73399,                0.69494,                0.74453,                0.35817,                 1.6641,                 1.1443,                 1.6094,               0.009208,               0.009208,               0.009208
                     19,                 1.7963,                 1.3718,                 1.6014,                0.73922,                0.70043,                0.75785,                0.36968,                 1.6428,                 1.1401,                 1.5938,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.7981,                 1.3583,                 1.5912,                0.72725,                0.71202,                0.75281,                0.35763,                 1.6695,                 1.1311,                  1.612,               0.009109,               0.009109,               0.009109
                     21,                 1.8066,                 1.3448,                 1.5935,                0.74546,                0.71027,                0.75795,                 0.3714,                 1.6367,                 1.1032,                 1.5953,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.7837,                 1.3353,                  1.597,                0.74437,                0.69128,                 0.7558,                0.37073,                 1.6365,                 1.1227,                 1.6133,                0.00901,                0.00901,                0.00901
                     23,                  1.773,                 1.3294,                 1.5982,                0.74003,                0.69559,                0.75036,                0.36062,                 1.6803,                 1.1083,                 1.6233,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.7779,                  1.305,                 1.5836,                0.75064,                0.71354,                0.77223,                0.38031,                 1.6397,                 1.1055,                 1.5915,               0.008911,               0.008911,               0.008911
                     25,                 1.7735,                 1.3184,                 1.5776,                0.75337,                0.71662,                0.76663,                0.37559,                 1.6366,                 1.0866,                 1.5899,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.7664,                 1.2891,                 1.5697,                0.75866,                0.71751,                0.76549,                0.37417,                 1.6436,                 1.0601,                 1.6002,               0.008812,               0.008812,               0.008812
                     27,                 1.7493,                  1.277,                  1.563,                0.75053,                0.73429,                 0.7772,                0.38692,                  1.613,                 1.0823,                 1.5793,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.738,                 1.2744,                  1.561,                0.77368,                0.73276,                0.78848,                0.39131,                 1.6234,                 1.0712,                 1.5897,               0.008713,               0.008713,               0.008713
                     29,                 1.7356,                 1.2698,                 1.5623,                0.73041,                0.74375,                0.78447,                0.38687,                 1.6434,                  1.073,                 1.6065,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.7364,                 1.2624,                  1.554,                0.76118,                0.70866,                0.76334,                 0.3744,                  1.656,                  1.062,                 1.6043,               0.008614,               0.008614,               0.008614
